Date,EU_CPIYOY,EU_GDPYOY,EURIBOR,GDPYOY,INFL,ROBOR3M,LT_IR,EURRON,ROKEPOLA,LENDRATE,DEPRATE,UNEMP,DR_12
3/31/2002,0.02559085,0.004074275,0.03361468,0.035,0.269666667,0.3613,,2.852566667,,,,0.132,
6/30/2002,0.021117065,0.008837609,0.03446064,0.058,0.243,0.3304,,3.0317,,,,0.106,
9/30/2002,0.021060742,0.011551891,0.03358864,0.054,0.213666667,0.277433333,,3.237633333,,,,0.087666667,
12/31/2002,0.022949368,0.012011363,0.03116203,0.055,0.184,0.224566667,,3.362966667,,,,0.082333333,
3/31/2003,0.023215464,0.007951094,0.02685365,0.052,0.166666667,0.191866667,,3.543666667,0.191566667,,,0.086666667,
6/30/2003,0.019967323,0.003248572,0.02359145,0.049,0.148,0.186333333,,3.747766667,0.183533333,,,0.076333333,
9/30/2003,0.020710225,0.004707671,0.02139106,0.063,0.149666667,0.1999,,3.746,0.188533333,,,0.069,
12/31/2003,0.020974854,0.010400745,0.02149312,0.054,0.148,0.217166667,,3.971466667,0.206866667,,,0.072,
3/31/2004,0.017389144,0.019326534,0.02061766,0.06,0.135666667,0.223866667,,4.066333333,0.2125,,,0.077666667,
6/30/2004,0.023236644,0.02428368,0.02083444,0.07,0.122666667,0.222066667,,4.0687,0.211133333,,,0.069666667,
9/30/2004,0.022959666,0.021187435,0.02116303,0.095,0.118666667,0.200066667,,4.096666667,0.194233333,,,0.062,
12/31/2004,0.023443842,0.017344546,0.02164,0.098,0.1,0.184666667,,4.002333333,0.180933333,,,0.062,
3/31/2005,0.020713832,0.014453431,0.02140355,0.058,0.088333333,0.139266667,,3.664533333,0.1594,,,0.062666667,
6/30/2005,0.020417967,0.014593874,0.02124446,0.047,0.099,0.098433333,,3.6141,0.1269,,,0.056666667,
9/30/2005,0.023126957,0.019450447,0.02130545,0.027,0.089,0.086033333,,3.5482,0.100733333,,,0.056333333,
12/31/2005,0.023505549,0.022019925,0.02343719,0.041,0.084666667,0.069733333,,3.619066667,0.075,,,0.057666667,
3/31/2006,0.023443106,0.028836258,0.026136,0.076,0.085966667,0.081733333,,3.561366667,0.080666667,,,0.061333333,
6/30/2006,0.024854343,0.033773403,0.02895661,0.082,0.070966667,0.086433333,,3.500566667,0.0851,,,0.054666667,
9/30/2006,0.021937132,0.032236538,0.03221508,0.083,0.059033333,0.0921,,3.535633333,0.0875,,,0.049666667,
12/31/2006,0.018091824,0.038031521,0.0359019,0.08,0.0478,0.090133333,,3.482966667,0.0875,,,0.051333333,
3/31/2007,0.018971522,0.035246592,0.03820391,0.067,0.038266667,0.080066667,,3.391333333,0.083066667,0.1218,0.068933333,0.050666667,
6/30/2007,0.019139859,0.031239046,0.04067791,0.068,0.037933333,0.079566667,,3.2948,0.073233333,0.1209,0.0719,0.042,
9/30/2007,0.019123573,0.029729157,0.04493739,0.063,0.049933333,0.072633333,,3.222133333,0.07,0.112333333,0.066733333,0.038666667,
12/31/2007,0.029297996,0.023282997,0.0471839,0.075,0.066933333,0.0801,0.073053333,3.436733333,0.073333333,0.116766667,0.0713,0.041333333,
3/31/2008,0.034216424,0.021579861,0.04476274,0.104,0.079533333,0.099133333,0.082526667,3.6673,0.086466667,0.125833333,0.081466667,0.041666667,0.02288885
6/30/2008,0.037070483,0.011021112,0.04859266,0.112,0.085633333,0.115466667,0.086883333,3.658366667,0.096566667,0.1378,0.101733333,0.037666667,0.027390233
9/30/2008,0.039112251,0.001242891,0.04981727,0.111,0.0812,0.1244,0.08902,3.586333333,0.101666667,0.1469,0.113633333,0.038,0.031412625
12/31/2008,0.023552499,-0.021395394,0.04242375,0.058,0.0681,0.181233333,0.110976667,3.863766667,0.1025,0.1912,0.147233333,0.041666667,0.023512938
3/31/2009,0.010165644,-0.056606956,0.02006794,-0.052,0.0677,0.1529,0.11172,4.2858,0.100966667,0.2054,0.164733333,0.052666667,0.026991281
6/30/2009,0.002000073,-0.053569126,0.01307968,-0.069,0.060866667,0.1207,0.108966667,4.1668,0.097,0.1821,0.1398,0.058333333,0.028096539
9/30/2009,-0.003589948,-0.04488649,0.008709091,-0.062,0.049866667,0.093566667,0.106676667,4.239266667,0.086766667,0.159366667,0.103266667,0.066,0.027365091
